"build","experimentName","subject","date","time","trialcode","blockcode","stimulusitem1","trial.choice.percentcorrect","trial.choice.latency","trial.choice.response","picture.correctStim.currentvalue","picture.incorrectStim.currentvalue","block_number","task_phase","index_correctChoice","index_incorrectChoice","correctChoicePosition","rightleftcorrect","correctKey","incorrectKey","percentTrialsCorrectFeedback_correctStim","percentTrialsCorrectFeedback_incorrectStim","responseAndFeedbackCategory","isThisTrialPractice","isResponseCorrect","isFeedbackAccurate","trial_number","total_trialnum","numbercorrectfeedback","numbercorrectfeedback_block","totalcorrect","consecutivecorrect","reversalnumber","totalearnings","centsearned"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","356","36","8","36","1","Reversal","8","36","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","35","35","18","18","27","4","19","9","9"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","skate.bmp","100","382","36","8","36","1","Reversal","8","36","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","36","36","18","18","27","4","19","9","9"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","382","36","8","36","1","Reversal","8","36","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","36","36","19","19","28","5","19","9.5","9.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","skate.bmp","100","318","36","8","36","1","Reversal","8","36","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","37","37","19","19","28","5","19","9.5","9.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","318","36","8","36","1","Reversal","8","36","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","37","37","20","20","29","6","19","10","10"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","skate.bmp","100","439","33","8","36","1","Reversal","8","36","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","38","38","20","20","29","6","19","10","10"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","439","33","8","36","1","Reversal","8","36","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","38","38","21","21","30","7","19","10.5","10.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","skate.bmp","100","445","36","8","36","1","Reversal","8","36","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","39","39","21","21","30","7","19","10.5","10.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","445","36","8","36","1","Reversal","8","36","2","right","36","33","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","39","39","22","22","31","8","19","11","11"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","skate.bmp","100","446","33","8","36","1","Reversal","8","36","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRIF","0","1","-1","40","40","22","22","31","8","19","11","11"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","446","33","8","36","1","Reversal","8","36","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRIF","0","1","-1","40","40","22","22","32","9","19","11","11"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","reset_trial","Experiment_block_start","Press SPACE to continue","100","446","33","8","36","2","Reversal","8","36","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRIF","0","1","-1","0","40","22","22","32","0","14","11","11"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","clipboard.bmp","100","449","33","30","14","2","Acquisiton","30","14","2","right","36","33","0.6999999999999999556","0.2999999999999999889","IRCF","0","-1","-1","1","41","22","0","32","0","14","11","0"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","449","33","30","14","2","Acquisiton","30","14","2","right","36","33","0.6999999999999999556","0.2999999999999999889","IRCF","0","-1","-1","1","41","23","1","32","0","14","11.5","0.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","clipboard.bmp","100","377","33","30","14","2","Acquisiton","30","14","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","2","42","23","1","32","0","14","11.5","0.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","377","33","30","14","2","Acquisiton","30","14","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","2","42","24","2","33","1","14","12","1"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","clipboard.bmp","100","326","33","30","14","2","Acquisiton","30","14","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","3","43","24","2","33","1","14","12","1"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","326","33","30","14","2","Acquisiton","30","14","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","3","43","25","3","34","2","14","12.5","1.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","clipboard.bmp","100","415","33","30","14","2","Acquisiton","30","14","2","right","36","33","0.6999999999999999556","0.2999999999999999889","IRIF","0","-1","1","4","44","25","3","34","2","14","12.5","1.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","fixation","Experiment_block_start","+","100","415","33","30","14","2","Acquisiton","30","14","2","right","36","33","0.6999999999999999556","0.2999999999999999889","IRIF","0","-1","1","4","44","25","3","34","0","14","12.5","1.5"
"6.4.2","Reversal_Task","378965","2021-09-28","16:19:32","choice","Experiment_block_start","clipboard.bmp","100","421","33","30","14","2","Acquisiton","30","14","1","left","33","36","0.6999999999999999556","0.2999999999999999889","CRCF","0","1","1","5","45","25","3","34","0","14","12.5","1.5"
